Gene	cluster
PALMD	20
MAMDC4	18
PALLD	10
PAK5	10
BAP1	24
PAK3	10
VAT1	3
PAIP1	17
POLR3D	1
CAPZA1	5
ALG6	2
ZSWIM1	1
SERPING1	3
PAG1	7
PAFAH1B3	12
PAFAH1B2	2
SUV39H1	1
PACRG	10
C11orf87	8
PABPC4	6
PNPT1	19
PABPC3	1
PABPC1L2A	6
P4HB	9
PTPN5	5
SLC35E3	19
P4HA2	18
P2RX4	4
SLC7A1	2
OXLD1	9
OVOL1	1
OVGP1	4
OTUD5	2
NSUN7	3
ZNF761	4
OSCP1	9
VPS35	14
OSBPL9	5
OSBPL8	10
SPCS2	17
OSBPL11	3
OSBPL10	5
ORMDL3	18
ORC4	5
PSMG1	9
ORC3	5
CNTNAP3	7
ORAI2	2
B3GNT7	3
MINPP1	2
TM2D3	14
LACC1	4
DMTF1	5
VWCE	4
ARAP3	4
SYT11	14
IGFBP4	3
ANO5	10
PCYOX1L	6
CDKAL1	10
CDK15	1
DNAJA1	17
PROS1	20
TMEM185A	4
FARS2	10
PICK1	4
KMT2D	2
DCHS1	6
VMP1	5
ZNF350	1
CDR2L	3
MAPKAP1	5
AKIRIN2	6
TTYH1	11
LRP2	7
C5orf22	4
BRD7	2
POLI	2
MTERF4	2
DVL3	4
SRPRB	9
SLC5A6	1
SSC4D	9
LOH12CR2	1
LMBR1L	4
BUD13	6
PARD6A	15
MIEN1	9
LZTS3	19
UIMC1	5
WDR73	4
OPA1	5
OLMALINC	7
OLFM2	3
PAPLN	3
MOAP1	17
OIP5-AS1	2
OSBPL6	10
OGG1	9
OGFRL1	10
OGFR	16
PBX2	4
GMCL1	5
PINK1	17
OGDHL	16
GTPBP6	4
OCRL	13
OCIAD1	14
PTPN11	5
RNF175	5
OAZ3	11
OAZ2	17
LINC01607	1
C7orf25	6
AAAS	9
NYAP1	6
NXPH4	3
TLE6	21
GAS2	5
NWD2	19
GABARAPL2	17
NWD1	3
NUSAP1	11
NUP98	19
CLCN3	14
NUP37	4
NUP35	4
LMTK3	19
NUP210	2
NUP205	2
NUP160	5
NUP107	2
ANP32A	17
SNCG	14
NUDT17	9
AAGAB	2
NUDT16L1	1
NUDT13	1
NUDT11	6
NUDT1	11
NUDCD2	17
NUCB1	4
NUAK2	6
NTS	3
NTRK3	10
NTNG1	10
NTN5	1
NTN4	3
NTN1	3
NTMT1	9
NTF3	3
EID1	14
LINC00869	14
PPIA	17
NT5M	4
RORB	10
NT5DC2	3
NT5C3B	15
NT5C3A	5
NSUN3	2
CDC14A	3
FAM228A	4
CD63	17
MLYCD	4
NSDHL	9
GEM	13
TOMM20	14
NSD1	5
PPP1R3F	6
NRXN1	10
NRSN1	14
NRP1	10
NRIP2	3
NRIP1	5
NBN	2
ZC3HC1	4
NRG4	2
LINC01123	1
PDCD7	16
NRG2	5
NRG1	10
NRDE2	2
AOC2	1
NRAV	9
NR6A1	5
PIGL	19
NR4A3	13
NR4A2	19
NR2F2	3
NR2C2AP	9
NR1I3	18
NR1H3	4
NQO2	5
PAPPA	3
NBPF12	2
NQO1	9
GSPT1	5
NPTXR	19
POLR3K	9
NPR3	3
NPR1	1
NPPC	8
EHBP1	10
NPLOC4	19
CNTNAP1	16
PTBP2	10
NPIPB4	4
DIAPH3	11
NPIPA1	16
NPHP4	19
NPEPPS	5
PWP2	1
NPEPL1	8
PLEKHA1	10
NOTUM	1
GALNT8	3
ZNF678	2
NOTCH3	3
NOTCH1	3
NOSIP	9
NPTX1	19
PDIA2	4
NOP14	4
NONO	11
NOL6	4
NOL4L	19
FKBP10	3
AGAP2	19
NOA1	1
NMU	3
NMNAT2	10
CARHSP1	11
NMNAT1	4
EGLN1	5
NME7	10
PRKAR1B	5
NMD3	5
OTULIN	4
NMB	15
NLRX1	1
NPDC1	12
PGF	3
NDUFAF1	9
CMSS1	10
NLRC3	24
PCDHGB7	1
NLK	10
THOC5	18
PLEKHN1	1
NLGN1	10
NKX6-3	18
NKX6-2	7
LGI4	2
BCL2L1	2
NKIRAS2	9
C3orf18	3
NIPA1	2
NKAP	9
PRMT1	9
VPS9D1	16
LIG3	4
NIPBL	5
NIPAL3	3
NIPAL1	2
NINL	8
PSMD6	9
ZC3H7A	2
NIF3L1	9
CAPZA2	13
NGLY1	5
NFYC	5
NFYA	1
ZNF407	5
NFU1	2
NFKBIZ	7
JAM3	7
NFKBIA	6
NFKB1	5
